protocol,scenario,tlp_median_ns,tlp_ci_low,tlp_ci_high,tar_median,tar_ci_low,tar_ci_high,lsc_median,lsc_ci_low,lsc_ci_high,se_median,se_ci_low,se_ci_high,tp_median,tp_ci_low,tp_ci_high,rt_p50_median_ns,rt_p999_median_ns,rt_p9999_median_ns
flatbuffers,tick,487.0,486.0,487.5,1.13785,1.1360000000000001,1.1382,0.007026,0.006977,0.007026,88.0,88.0,88.0,2295494.9000000004,2280151.0,2301357.6022255183,427.5,625.0,3422.0
json,book_large,35663.0,35647.0,35695.0,1.1958,1.19495,1.1961,0.08910950000000001,0.08902,0.089205,6106.0,6106.0,6106.0,33930.3,33909.5,33946.05,29839.0,38079.0,45071.0
json,book_medium,8647.0,8631.00215072272,8647.0,1.04535,1.0445,1.0454500000000002,0.007375,0.0072575,0.007435499999999999,1530.0,1530.0,1530.0,125031.04999999999,124943.6,125089.7,8271.0,11247.0,13763.0
json,book_small,2812.0,2811.0,2815.0,1.0423,1.0415,1.043,0.008534,0.008515,0.008534,484.0,480.0,484.0,377845.6,377701.9,378138.9,2697.0,5491.0,6935.0
json,burst,8703.0,8687.0,8719.0,9.79515,9.7807,9.8228,0.027042,0.0264035,0.027088,179.0,179.0,179.0,694207.3999999999,691983.0,695006.3,888.0,34815.0,36287.0
json,mixed,11675.0,11439.0,24895.0,13.1106,12.824,27.9719,0.03139,0.030286,0.031461,179.0,179.0,179.0,665291.4,663931.95,666031.8,891.0,34911.0,36287.0
json,order,1162.0,1157.5,1168.0,1.0875499999999998,1.0867,1.08785,0.014124,0.013966,0.014138,202.0,202.0,202.0,945201.5,944064.3,945988.2,1068.5,3762.0,4249.0
json,tick,941.0,938.0,961.5,1.0730499999999998,1.0715,1.0732,0.012586,0.012571,0.012571,179.0,179.0,179.0,1095055.25,1094579.4,1095549.4,876.0,1266.0,3851.0
protobuf,book_large,12335.0,12267.0,12339.0,1.1787,1.1778,1.18155,0.07578399999999999,0.075233,0.076407,1838.0,1838.0,1838.0,97305.9,97192.3,97338.8,10427.0,14911.0,19711.0
protobuf,book_medium,3170.0,3164.0,3175.0,1.0768,1.07625,1.07815,0.0128295,0.012601999999999999,0.012921,458.0,458.0,458.0,358942.35,357970.7,359286.1,2941.0,5895.0,9535.0
protobuf,book_small,1142.0,1138.0,1145.0,1.11425,1.1124,1.1156,0.0214215,0.01966303670173861,0.022222,129.0,129.0,129.0,1005911.6,1005489.2,1006279.6000000001,1025.5,3726.0,6189.0
protobuf,burst,3214.0,3201.0,3244.0,12.10945,12.0412,12.2377,0.056604,0.056604,0.056604,44.0,44.0,44.0,2105709.4000000004,2101914.8,2110991.0645802203,265.0,11867.0,12567.0
protobuf,mixed,6081.0,5879.0,8783.0,22.8609,22.1015,33.0188,0.06015,0.06015,0.06015,44.0,44.0,44.0,2000915.2,1998390.0,2003579.4,266.0,11891.0,12547.0
protobuf,order,454.0,452.5,454.0,1.2008,1.1989,1.2021,0.026525,0.026406663122061757,0.026525,58.0,58.0,58.0,2657690.9000000004,2651970.7,2660850.6,378.0,708.5,3401.0
protobuf,tick,321.0,321.0,321.0,1.2588,1.2548000491432558,1.2588,0.031373,0.031373,0.031373,44.0,44.0,44.0,4095567.45,4090200.0,4098593.2,255.0,404.0,3117.0
rkyv,book_large,992.0,990.0,995.0,1.619,1.6153,1.6233499999999998,0.0941855,0.092562,0.095353,2768.0,2768.0,2768.0,1809616.85,1804562.3,1812220.35,613.5,1117.0,5617.0
rkyv,book_medium,417.0,415.5,419.0,1.741,1.7292,1.7516,0.0171305,0.016736,0.020790000000000003,688.0,688.0,688.0,4694515.25,4682744.9,4698808.85,239.5,683.5,3506.0
rkyv,book_small,276.0,272.5,279.0,1.3893,1.3671,1.3949,0.01023,0.009662,0.010256,208.0,208.0,208.0,5783829.449999999,5773147.244580126,5787855.4,195.5,516.5,3415.0
rkyv,burst,458.5,453.0,463.0,4.90425,4.8495,4.9677,0.021505,0.021505,0.021505,64.0,64.0,64.0,7768826.699999999,7752316.9,7780727.274714478,93.0,739.5,3052.0
rkyv,mixed,498.5,495.0,502.0,5.31555,5.2527,5.370950000000001,0.021505,0.021505,0.021505,64.0,64.0,64.0,7497524.85,7488800.4,7506211.45,93.0,744.5,3069.0
rkyv,order,308.0,306.0,308.0,1.2899,1.2866,1.2934999999999999,0.033613,0.033403,0.033613,88.0,88.0,88.0,4884132.75,4868193.430280395,4886699.0,238.0,553.5,3240.0
rkyv,tick,156.0,156.0,156.0,1.7143,1.7143,1.7143,0.010989,0.010989,0.010989,64.0,64.0,64.0,11520311.7,11502155.8,11549172.7,91.0,230.5,543.0
