protocol,scenario,seed,run_index,encode_p50_ns,encode_p99_ns,encode_p999_ns,encode_p9999_ns,encode_mean_ns,encode_min_ns,encode_max_ns,encode_stddev_ns,encode_cv,encode_tar_p99,encode_tar_p999,encode_tar_p9999,decode_p50_ns,decode_p99_ns,decode_p999_ns,decode_p9999_ns,decode_mean_ns,decode_min_ns,decode_max_ns,decode_stddev_ns,decode_cv,decode_tar_p99,decode_tar_p999,decode_tar_p9999,rt_p50_ns,rt_p99_ns,rt_p999_ns,rt_p9999_ns,rt_mean_ns,rt_min_ns,rt_max_ns,rt_stddev_ns,rt_cv,rt_lsc,rt_tar_p99,rt_tar_p999,rt_tar_p9999,size_median,size_mean,size_min,size_max,throughput_msg_sec,throughput_bytes_sec,throughput_corpus_exhausted,throughput_processed,total_messages,warmup_messages,measured_messages
bincode,book_large,57,15,2043,2435,5159,7731,2052.0,1619,17359,241.2,0.117569,1.1919,2.5252,3.7841,2771,3243,6063,11047,2783.0,2274,16623,348.5,0.125217,1.1703,2.1880,3.9866,4819,5643,8615,15823,4834.7,3930,20383,519.0,0.107355,0.077609,1.1710,1.7877,3.2835,1646.0,1646.1,1336,1958,217649.2,358263186.2,true,95000,100000,5000,95000
bincode,book_large,58,16,2069,2459,5143,7623,2076.9,1703,16295,237.1,0.114145,1.1885,2.4857,3.6844,2781,3299,6035,10047,2801.5,2298,17839,354.2,0.126445,1.1863,2.1701,3.6127,4851,5711,8535,15863,4878.1,4018,19935,524.9,0.107599,0.080602,1.1773,1.7594,3.2700,1646.0,1646.1,1336,1958,216773.2,356829251.6,true,95000,100000,5000,95000
bincode,book_large,59,17,2057,2441,5099,7363,2065.2,1644,15063,229.8,0.111266,1.1867,2.4789,3.5795,2771,3239,6011,9311,2779.6,2288,14111,333.5,0.119967,1.1689,2.1693,3.3602,4831,5647,8487,12679,4844.6,3946,17631,503.8,0.103988,0.077624,1.1689,1.7568,2.6245,1646.0,1645.5,1336,1958,217469.3,357844957.7,true,95000,100000,5000,95000
bincode,book_large,60,18,2061,2465,5127,7019,2067.7,1654,16399,239.2,0.115694,1.1960,2.4876,3.4056,2777,3247,5943,7343,2786.2,2276,9839,320.7,0.115091,1.1692,2.1401,2.6442,4843,5675,8431,11551,4853.7,3972,19407,498.1,0.102627,0.077225,1.1718,1.7409,2.3851,1646.0,1647.0,1336,1958,217510.2,358233041.5,true,95000,100000,5000,95000
bincode,book_large,61,19,2039,2425,5107,7323,2047.2,1629,16943,239.1,0.116775,1.1893,2.5047,3.5915,2789,3269,6003,11815,2797.1,2286,17471,348.7,0.124666,1.1721,2.1524,4.2363,4831,5655,8415,17471,4844.1,3948,20031,516.4,0.106609,0.077417,1.1706,1.7419,3.6164,1646.0,1645.5,1336,1956,216831.4,356806550.7,true,95000,100000,5000,95000
bincode,book_large,62,20,2047,2439,5087,6011,2055.4,1646,14399,232.4,0.113049,1.1915,2.4851,2.9365,2825,3361,6015,6879,2846.6,2332,11599,337.3,0.118509,1.1897,2.1292,2.4350,4875,5759,8431,9871,4901.8,3996,17407,511.8,0.104412,0.081026,1.1813,1.7294,2.0248,1644.0,1645.0,1336,1958,215331.7,354224744.8,true,95000,100000,5000,95000
bincode,book_large,63,21,2115,2523,5155,5663,2121.4,1741,6603,217.8,0.102679,1.1929,2.4374,2.6775,2843,3373,6155,7043,2862.4,2354,8179,338.6,0.118296,1.1864,2.1650,2.4773,4959,5847,8607,9455,4983.5,4120,10415,506.0,0.101534,0.079855,1.1791,1.7356,1.9066,1646.0,1645.5,1336,1958,217068.7,357195983.6,true,95000,100000,5000,95000
bincode,book_large,64,22,2047,2431,5047,5483,2055.5,1648,6971,220.1,0.107099,1.1876,2.4656,2.6786,2771,3299,5959,7091,2795.7,2296,12951,333.7,0.119349,1.1905,2.1505,2.5590,4823,5691,8391,9559,4850.9,3964,14935,501.7,0.103418,0.080241,1.1800,1.7398,1.9820,1644.0,1645.3,1336,1958,217765.7,358296490.2,true,95000,100000,5000,95000
bincode,book_large,65,23,2053,2465,5159,6947,2063.4,1640,29295,259.9,0.125980,1.2007,2.5129,3.3838,2825,3297,5983,7419,2831.0,2326,19391,329.5,0.116374,1.1671,2.1179,2.6262,4883,5715,8503,11935,4894.1,3998,32415,515.8,0.105403,0.077821,1.1704,1.7413,2.4442,1646.0,1645.9,1336,1958,215003.0,353864592.3,true,95000,100000,5000,95000
bincode,book_large,66,24,2055,2441,5139,6839,2062.0,1651,9831,226.5,0.109861,1.1878,2.5007,3.3280,2767,3255,6063,9743,2778.0,2286,19567,337.7,0.121565,1.1764,2.1912,3.5211,4827,5651,8511,12023,4839.8,3950,21471,504.2,0.104187,0.077688,1.1707,1.7632,2.4908,1646.0,1645.8,1336,1958,217490.0,357941863.6,true,95000,100000,5000,95000
bincode,book_large,67,25,2038,2423,5019,6187,2046.1,1635,13679,224.5,0.109695,1.1889,2.4627,3.0358,2819,3307,5987,8527,2831.3,2336,13911,334.1,0.118011,1.1731,2.1238,3.0248,4863,5691,8439,12527,4877.1,3980,17135,501.7,0.102875,0.078141,1.1703,1.7353,2.5760,1644.0,1644.8,1336,1958,215308.5,354142016.6,true,95000,100000,5000,95000
bincode,book_large,68,26,2042,2431,5119,7415,2051.3,1637,10183,230.2,0.112199,1.1905,2.5069,3.6312,2777,3281,5987,8311,2794.9,2298,13023,335.5,0.120053,1.1815,2.1559,2.9928,4823,5675,8447,11439,4846.0,3958,15327,507.4,0.104709,0.080448,1.1767,1.7514,2.3718,1646.0,1646.1,1336,1958,217519.9,358051370.5,true,95000,100000,5000,95000
bincode,book_large,69,27,2095,2487,5231,9175,2108.2,1703,311551,1035.4,0.491118,1.1871,2.4969,4.3795,2837,3299,6127,27935,2870.4,2354,360703,3287.1,1.145156,1.1628,2.1597,9.8467,4931,5751,8703,316927,4978.4,4086,365055,3499.7,0.702979,0.075238,1.1663,1.7650,64.2724,1644.0,1644.8,1336,1958,217037.1,356981521.4,true,95000,100000,5000,95000
bincode,book_large,70,28,2037,2421,5007,6867,2044.6,1627,10199,219.8,0.107502,1.1885,2.4580,3.3711,2773,3243,5995,9231,2784.7,2276,14839,335.8,0.120580,1.1695,2.1619,3.3289,4815,5631,8399,12839,4829.0,3930,16991,499.7,0.103483,0.077259,1.1695,1.7443,2.6665,1646.0,1645.7,1336,1958,217563.3,358043395.6,true,95000,100000,5000,95000
bincode,book_large,71,29,2039,2433,5067,7135,2047.3,1626,10311,228.0,0.111390,1.1932,2.4850,3.4993,2791,3287,6019,9047,2802.3,2286,12943,332.4,0.118616,1.1777,2.1566,3.2415,4835,5671,8463,12031,4849.3,3934,18383,502.5,0.103615,0.077766,1.1729,1.7504,2.4883,1646.0,1646.1,1336,1958,217071.5,357320595.3,true,95000,100000,5000,95000
bincode,book_medium,42,0,753,907,1234,7123,766.4,603,19391,162.3,0.211749,1.2045,1.6388,9.4595,705,738,824,9511,713.6,695,18463,161.8,0.226772,1.0468,1.1688,13.4908,1463,1645,4651,12103,1479.9,1304,20191,232.2,0.156931,0.012987,1.1244,3.1791,8.2727,350.0,349.9,348,358,741160.8,259332273.0,true,95000,100000,5000,95000
bincode,book_medium,43,1,756,909,1547,6547,769.7,601,17647,154.4,0.200537,1.2024,2.0463,8.6601,704,734,1544,8703,709.9,695,15655,167.3,0.235679,1.0426,2.1932,12.3622,1462,1644,4659,14583,1479.6,1303,18687,232.1,0.156884,0.012312,1.1245,3.1867,9.9747,350.0,349.9,348,358,741358.9,259398054.9,true,95000,100000,5000,95000
bincode,book_medium,44,2,752,915,1199,5835,764.9,618,7559,105.8,0.138271,1.2168,1.5944,7.7593,720,774,834,4871,725.8,711,9223,94.5,0.130168,1.0750,1.1583,6.7653,1475,1662,4415,7363,1490.7,1335,9983,147.1,0.098684,0.012203,1.1268,2.9932,4.9919,350.0,349.9,348,358,733151.8,256527308.2,true,95000,100000,5000,95000
bincode,book_medium,45,3,752,918,1218,9047,765.7,611,11999,144.1,0.188163,1.2207,1.6197,12.0306,717,771,814,9535,723.7,707,13095,148.6,0.205312,1.0753,1.1353,13.2985,1472,1660,4647,10415,1489.3,1326,13887,209.1,0.140407,0.012228,1.1277,3.1569,7.0754,350.0,349.9,348,358,734813.4,257109677.8,true,95000,100000,5000,95000
bincode,book_medium,46,4,752,902,1201,5667,764.8,604,15687,121.8,0.159240,1.1995,1.5971,7.5359,718,772,803,5871,724.3,709,12615,106.7,0.147337,1.0752,1.1184,8.1769,1474,1649,4487,7995,1489.2,1319,16479,165.8,0.111312,0.012212,1.1187,3.0441,5.4240,350.0,349.9,348,358,734527.8,257006680.3,true,95000,100000,5000,95000
bincode,book_medium,47,5,744,910,1199,6683,763.8,682,15375,147.3,0.192883,1.2231,1.6116,8.9825,704,736,771,7399,710.7,694,13727,131.1,0.184447,1.0455,1.0952,10.5099,1453,1630,4575,10671,1474.4,1384,16191,199.9,0.135609,0.018582,1.1218,3.1487,7.3441,350.0,349.9,348,358,740045.9,258944545.0,true,95000,100000,5000,95000
bincode,book_medium,48,6,745,914,1558,5635,764.3,684,8503,113.0,0.147819,1.2268,2.0913,7.5638,706,736,1361,5823,711.4,695,8163,102.8,0.144485,1.0425,1.9278,8.2479,1455,1641,4419,7579,1475.8,1388,9295,157.7,0.106828,0.018557,1.1278,3.0371,5.2089,350.0,349.9,348,358,738682.2,258458282.7,true,95000,100000,5000,95000
bincode,book_medium,49,7,743,919,1360,5959,762.6,683,12463,124.0,0.162639,1.2369,1.8304,8.0202,704,734,1686,6427,710.3,695,9431,126.2,0.177667,1.0426,2.3949,9.1293,1451,1649,4459,8035,1472.9,1384,13263,182.8,0.124094,0.018608,1.1365,3.0731,5.5376,350.0,349.9,348,358,741882.2,259574536.9,true,95000,100000,5000,95000
bincode,book_medium,50,8,753,911,1238,5511,764.9,691,7515,106.4,0.139117,1.2098,1.6441,7.3187,717,771,805,5583,722.5,707,7135,97.0,0.134185,1.0753,1.1227,7.7866,1472,1655,4443,7211,1487.5,1410,9743,147.6,0.099246,0.012228,1.1243,3.0183,4.8988,350.0,349.9,348,358,734673.7,257063583.8,true,95000,100000,5000,95000
bincode,book_medium,51,9,757,907,1208,4183,769.0,631,14975,121.9,0.158497,1.1982,1.5958,5.5258,704,730,764,5991,707.8,695,7587,99.0,0.139833,1.0369,1.0852,8.5099,1462,1639,4571,7171,1476.8,1335,15831,160.6,0.108769,0.012312,1.1211,3.1265,4.9049,350.0,349.9,348,358,741851.1,259576098.8,true,95000,100000,5000,95000
bincode,book_medium,52,10,743,921,1905,5143,762.7,687,8775,115.6,0.151508,1.2396,2.5639,6.9219,703,734,1054,4047,708.8,695,8067,93.6,0.131998,1.0441,1.4993,5.7568,1450,1644,4475,7775,1471.5,1385,9559,154.1,0.104750,0.017931,1.1338,3.0862,5.3621,350.0,349.9,348,358,716624.5,250745983.5,true,95000,100000,5000,95000
bincode,book_medium,53,11,752,905,1215,5319,764.3,629,7387,108.1,0.141426,1.2035,1.6157,7.0731,704,735,777,5591,708.9,694,8359,93.6,0.132041,1.0440,1.1037,7.9418,1458,1637,4415,7155,1473.1,1333,9167,147.7,0.100258,0.012346,1.1228,3.0281,4.9074,350.0,349.9,348,358,743077.0,260001531.5,true,95000,100000,5000,95000
bincode,book_medium,54,12,758,912,1192,9599,770.8,601,16975,159.1,0.206421,1.2032,1.5726,12.6636,704,735,807,6731,710.0,696,13407,126.6,0.178392,1.0440,1.1463,9.5611,1465,1643,4583,10751,1480.7,1307,17791,207.4,0.140084,0.012969,1.1215,3.1283,7.3386,350.0,349.9,348,358,741536.2,259460337.6,true,95000,100000,5000,95000
bincode,book_medium,55,13,752,907,1191,5587,764.2,603,6887,104.2,0.136320,1.2061,1.5838,7.4295,706,734,777,5419,710.4,695,7191,92.7,0.130462,1.0397,1.1006,7.6756,1460,1639,4411,7151,1474.6,1308,9111,144.5,0.098017,0.011644,1.1226,3.0212,4.8979,350.0,349.9,348,358,740041.2,258935011.6,true,95000,100000,5000,95000
bincode,book_medium,56,14,752,918,1654,6659,766.3,609,14511,142.7,0.186229,1.2207,2.1995,8.8551,706,737,1160,6027,712.0,696,9983,112.5,0.157959,1.0439,1.6431,8.5368,1462,1658,4467,10095,1478.3,1311,16639,188.3,0.127412,0.012312,1.1341,3.0554,6.9049,350.0,349.9,348,358,738350.1,258350069.3,true,95000,100000,5000,95000
bincode,book_medium,57,15,752,908,1484,5211,764.3,605,6443,104.7,0.136968,1.2074,1.9734,6.9295,704,735,1197,5811,710.4,695,7943,101.0,0.142199,1.0440,1.7003,8.2543,1459,1641,4515,7615,1474.7,1309,8679,152.0,0.103049,0.011652,1.1247,3.0946,5.2193,350.0,349.9,348,358,741853.8,259573188.4,true,95000,100000,5000,95000
bincode,book_medium,58,16,752,910,1175,3823,763.9,692,9007,95.9,0.125560,1.2101,1.5625,5.0838,719,772,1169,5839,726.1,708,23007,129.1,0.177833,1.0737,1.6259,8.1210,1475,1662,4415,6835,1490.0,1406,23743,163.2,0.109524,0.012203,1.1268,2.9932,4.6339,350.0,349.9,348,358,732575.2,256324714.6,true,95000,100000,5000,95000
bincode,book_medium,59,17,755,890,1173,3967,766.9,607,7127,98.7,0.128713,1.1788,1.5536,5.2543,704,729,773,5511,708.6,695,16231,107.0,0.150984,1.0355,1.0980,7.8281,1461,1618,4419,6575,1475.5,1311,16975,149.4,0.101282,0.012320,1.1075,3.0246,4.5003,350.0,349.9,348,358,741422.3,259415249.0,true,95000,100000,5000,95000
bincode,book_medium,60,18,744,911,1225,5483,763.8,682,6739,109.1,0.142840,1.2245,1.6465,7.3696,702,733,779,5459,708.0,695,7755,97.9,0.138272,1.0442,1.1097,7.7764,1451,1632,4431,7211,1471.8,1383,8935,150.4,0.102215,0.018608,1.1247,3.0538,4.9697,350.0,349.9,348,358,741975.7,259612757.6,true,95000,100000,5000,95000
bincode,book_medium,61,19,752,934,1523,5683,771.0,686,7663,115.7,0.150039,1.2420,2.0253,7.5572,704,733,1556,5455,709.3,695,7951,99.8,0.140719,1.0412,2.2102,7.7486,1460,1660,4427,7707,1480.3,1391,9855,159.8,0.107919,0.019863,1.1370,3.0322,5.2788,350.0,349.9,348,358,737200.7,257946049.4,true,95000,100000,5000,95000
bincode,book_medium,62,20,760,924,1255,6143,773.4,600,13583,124.0,0.160344,1.2158,1.6513,8.0829,703,738,783,5195,708.9,695,14567,99.5,0.140304,1.0498,1.1138,7.3898,1467,1655,4463,8311,1482.3,1300,15367,164.9,0.111258,0.012270,1.1282,3.0423,5.6653,350.0,349.9,348,358,742549.2,259809726.2,true,95000,100000,5000,95000
bincode,book_medium,63,21,743,906,1204,5491,761.7,682,7763,105.7,0.138813,1.2194,1.6205,7.3903,704,735,872,5423,709.5,695,7091,96.7,0.136318,1.0440,1.2386,7.7031,1451,1624,4395,6999,1471.1,1383,10007,147.2,0.100081,0.017919,1.1192,3.0289,4.8236,350.0,349.9,348,358,741637.2,259500683.4,true,95000,100000,5000,95000
bincode,book_medium,64,22,753,913,1244,6359,765.5,599,18543,133.8,0.174780,1.2125,1.6521,8.4449,703,735,781,5539,708.9,694,14919,116.4,0.164246,1.0455,1.1110,7.8791,1459,1642,4475,9207,1474.5,1303,19359,182.2,0.123596,0.012337,1.1254,3.0672,6.3105,350.0,349.9,348,358,742338.1,259737629.7,true,95000,100000,5000,95000
bincode,book_medium,65,23,753,916,1568,5315,765.5,609,8415,108.7,0.142014,1.2165,2.0823,7.0584,704,734,1655,5435,710.0,695,7371,98.0,0.138078,1.0426,2.3509,7.7202,1460,1652,4439,7615,1475.6,1334,9303,153.3,0.103897,0.012329,1.1315,3.0404,5.2158,350.0,349.9,348,358,741999.7,259622578.5,true,95000,100000,5000,95000
bincode,book_medium,66,24,752,906,1175,5815,764.8,699,7499,113.0,0.147729,1.2048,1.5625,7.7327,704,733,849,5047,709.2,694,8983,95.3,0.134417,1.0412,1.2060,7.1690,1459,1632,4399,7655,1474.0,1399,9823,153.7,0.104292,0.011652,1.1186,3.0151,5.2467,350.0,349.9,348,358,741861.7,259575154.1,true,95000,100000,5000,95000
bincode,book_medium,67,25,743,905,1204,6095,761.6,685,12959,118.7,0.155837,1.2180,1.6205,8.2032,704,735,845,5475,709.7,694,8319,97.3,0.137126,1.0440,1.2003,7.7770,1451,1623,4419,7847,1471.2,1386,13831,158.4,0.107697,0.017919,1.1185,3.0455,5.4080,350.0,349.9,348,358,741785.3,259556563.1,true,95000,100000,5000,95000
bincode,book_medium,68,26,752,910,1238,5615,765.0,602,7619,111.7,0.146031,1.2101,1.6463,7.4668,717,770,795,5503,721.9,708,7131,89.9,0.124499,1.0739,1.1088,7.6750,1472,1647,4435,7171,1486.9,1318,9671,147.8,0.099409,0.012228,1.1189,3.0129,4.8716,350.0,349.9,348,358,734468.8,256996182.9,true,95000,100000,5000,95000
bincode,book_medium,69,27,757,905,1286,5951,769.4,599,13543,122.7,0.159533,1.1955,1.6988,7.8613,716,771,927,5831,721.5,707,7047,102.3,0.141719,1.0768,1.2947,8.1439,1475,1650,4603,7743,1490.9,1314,14399,165.9,0.111247,0.012203,1.1186,3.1207,5.2495,350.0,349.9,348,358,734912.3,257144378.0,true,95000,100000,5000,95000
bincode,book_medium,70,28,743,917,1719,6047,763.2,685,7595,127.2,0.166660,1.2342,2.3136,8.1386,704,734,1086,5435,709.6,695,8735,93.7,0.132039,1.0426,1.5426,7.7202,1452,1637,4407,8147,1472.8,1388,9543,165.5,0.112383,0.018595,1.1274,3.0351,5.6109,350.0,349.9,348,358,741423.1,259416633.2,true,95000,100000,5000,95000
bincode,book_medium,71,29,752,894,1192,5483,764.4,620,8147,107.9,0.141147,1.1888,1.5851,7.2912,717,769,806,5387,722.6,707,7815,95.6,0.132357,1.0725,1.1241,7.5132,1472,1644,4439,7651,1487.0,1333,8975,148.7,0.100030,0.012228,1.1168,3.0156,5.1977,350.0,349.9,348,358,734821.5,257117621.9,true,95000,100000,5000,95000
bincode,book_small,42,0,357,428,702,3447,362.5,258,5807,67.0,0.184808,1.1989,1.9664,9.6555,244,273,367,3153,247.1,239,7611,51.3,0.207816,1.1189,1.5041,12.9221,602,682,972,3819,609.6,503,7983,84.9,0.139268,0.009967,1.1329,1.6146,6.3439,108.0,108.7,108,110,1918318.6,208570255.8,true,95000,100000,5000,95000
bincode,book_small,43,1,361,435,747,6215,367.4,258,13871,111.6,0.303853,1.2050,2.0693,17.2161,246,270,322,5239,248.7,239,16039,107.1,0.430593,1.0976,1.3089,21.2967,607,688,1017,8375,616.1,502,16415,156.8,0.254542,0.009885,1.1334,1.6755,13.7974,108.0,108.7,108,110,1917558.0,208487563.9,true,95000,100000,5000,95000
bincode,book_small,44,2,357,428,709,4855,361.9,258,7739,74.5,0.205926,1.1989,1.9860,13.5994,244,268,314,3419,247.0,239,8071,68.2,0.276013,1.0984,1.2869,14.0123,602,677,1006,5623,608.9,503,8431,103.3,0.169678,0.009967,1.1246,1.6711,9.3405,108.0,108.7,108,110,1914850.0,208193131.0,true,95000,100000,5000,95000
bincode,book_small,45,3,387,459,755,5303,393.3,271,19647,106.9,0.271881,1.1860,1.9509,13.7028,287,315,362,3349,289.6,273,8935,68.8,0.237420,1.0976,1.2613,11.6690,675,752,1106,6043,682.9,545,20047,130.3,0.190732,0.008889,1.1141,1.6385,8.9526,108.0,108.7,108,110,1776558.8,193157346.3,true,95000,100000,5000,95000
bincode,book_small,46,4,360,436,722,5067,366.9,260,14151,94.1,0.256522,1.2111,2.0056,14.0750,244,268,307,4603,246.4,238,7655,62.7,0.254626,1.0984,1.2582,18.8648,605,683,1009,5951,613.3,502,14423,115.4,0.188183,0.011570,1.1289,1.6678,9.8364,108.0,108.7,108,110,1923267.7,209108352.9,true,95000,100000,5000,95000
bincode,book_small,47,5,359,431,719,5075,364.2,256,6863,75.6,0.207602,1.2006,2.0028,14.1365,244,268,317,3291,246.7,238,9503,63.6,0.257755,1.0984,1.2992,13.4877,604,679,1012,5687,610.9,501,9839,102.1,0.167180,0.009934,1.1242,1.6755,9.4156,108.0,108.7,108,110,1920648.9,208823627.0,true,95000,100000,5000,95000
bincode,book_small,48,6,357,430,742,5015,363.3,260,9303,83.4,0.229573,1.2045,2.0784,14.0476,247,269,595,3193,250.0,242,5971,54.1,0.216532,1.0891,2.4089,12.9271,605,682,1232,5811,613.2,507,9583,103.7,0.169174,0.008264,1.1273,2.0364,9.6050,108.0,108.7,108,110,1905410.8,207166855.9,true,95000,100000,5000,95000
bincode,book_small,49,7,369,442,741,3399,372.8,269,8271,68.7,0.184248,1.1978,2.0081,9.2114,244,265,311,4695,246.1,239,7563,70.2,0.285174,1.0861,1.2746,19.2418,614,687,1035,5463,618.9,514,9191,100.1,0.161818,0.014658,1.1189,1.6857,8.8974,108.0,108.7,108,110,1877104.7,204089258.8,true,95000,100000,5000,95000
